indexname,index_size,idx_scan,idx_tup_read,idx_tup_fetch,indexdef
gin_conteudo__geodatabase_validacoes_realizadas,16 kB,0,0,0,CREATE INDEX gin_conteudo__geodatabase_validacoes_realizadas ON dicionario.conteudo__geodatabase USING gin (validacoes_realizadas)
gin_conteudo__geodatabase_padroes_seguidos,16 kB,0,0,0,CREATE INDEX gin_conteudo__geodatabase_padroes_seguidos ON dicionario.conteudo__geodatabase USING gin (padroes_seguidos)
gin_conteudo__geodatabase_servicos_disponiveis,16 kB,0,0,0,CREATE INDEX gin_conteudo__geodatabase_servicos_disponiveis ON dicionario.conteudo__geodatabase USING gin (servicos_disponiveis)
gin_conteudo__geodatabase_compatibilidade_software,16 kB,0,0,0,CREATE INDEX gin_conteudo__geodatabase_compatibilidade_software ON dicionario.conteudo__geodatabase USING gin (compatibilidade_software)
gin_conteudo__geoespacial_raster_aplicacoes_sugeridas,16 kB,0,0,0,CREATE INDEX gin_conteudo__geoespacial_raster_aplicacoes_sugeridas ON dicionario.conteudo__geoespacial_raster USING gin (aplicacoes_sugeridas)
gin_conteudo__geoespacial_raster_bandas_espectrais,16 kB,0,0,0,CREATE INDEX gin_conteudo__geoespacial_raster_bandas_espectrais ON dicionario.conteudo__geoespacial_raster USING gin (bandas_espectrais)
gin_conteudo__geoespacial_raster_indices_calculaveis,16 kB,0,0,0,CREATE INDEX gin_conteudo__geoespacial_raster_indices_calculaveis ON dicionario.conteudo__geoespacial_raster USING gin (indices_calculaveis)
gin_conteudo__geoespacial_raster_algoritmos_aplicados,16 kB,0,0,0,CREATE INDEX gin_conteudo__geoespacial_raster_algoritmos_aplicados ON dicionario.conteudo__geoespacial_raster USING gin (algoritmos_aplicados)
gin_conteudo__geoespacial_vetor_palavras_chave_espaciais,16 kB,0,0,0,CREATE INDEX gin_conteudo__geoespacial_vetor_palavras_chave_espaciais ON dicionario.conteudo__geoespacial_vetor USING gin (palavras_chave_espaciais)
gin_conteudo__geoespacial_vetor_toponimos,16 kB,0,0,0,CREATE INDEX gin_conteudo__geoespacial_vetor_toponimos ON dicionario.conteudo__geoespacial_vetor USING gin (toponimos)
