OK | 38 | 0.457s | CREATE INDEX IF NOT EXISTS gin_conteudo__geoespacial_raster_aplicacoes_sugeridas ON dicionario.conteudo__geoespacial_raster USING gin (aplicacoes_sugeridas)
OK | 39 | 0.438s | CREATE INDEX IF NOT EXISTS gin_conteudo__geoespacial_raster_bandas_espectrais ON dicionario.conteudo__geoespacial_raster USING gin (bandas_espectrais)
OK | 40 | 0.497s | CREATE INDEX IF NOT EXISTS gin_conteudo__geoespacial_raster_indices_calculaveis ON dicionario.conteudo__geoespacial_raster USING gin (indices_calculaveis)
OK | 41 | 0.446s | CREATE INDEX IF NOT EXISTS gin_conteudo__geoespacial_raster_algoritmos_aplicados ON dicionario.conteudo__geoespacial_raster USING gin (algoritmos_aplicados)
OK | 42 | 0.461s | CREATE INDEX IF NOT EXISTS gin_conteudo__geoespacial_vetor_palavras_chave_espaciais ON dicionario.conteudo__geoespacial_vetor USING gin (palavras_chave_espaciais)
OK | 43 | 0.552s | CREATE INDEX IF NOT EXISTS gin_conteudo__geoespacial_vetor_toponimos ON dicionario.conteudo__geoespacial_vetor USING gin (toponimos)
OK | 44 | 0.426s | CREATE INDEX IF NOT EXISTS gin_conteudo__geoespacial_vetor_campos_obrigatorios ON dicionario.conteudo__geoespacial_vetor USING gin (campos_obrigatorios)
OK | 45 | 0.437s | CREATE INDEX IF NOT EXISTS gin_conteudo__geoespacial_vetor_campos_opcionais ON dicionario.conteudo__geoespacial_vetor USING gin (campos_opcionais)
OK | 46 | 0.452s | CREATE INDEX IF NOT EXISTS gin_conteudo__geoespacial_vetor_tipos_dados_atributos ON dicionario.conteudo__geoespacial_vetor USING gin (tipos_dados_atributos)
OK | 47 | 0.448s | CREATE INDEX IF NOT EXISTS gin_conteudo__geoespacial_vetor_dominios_atributos ON dicionario.conteudo__geoespacial_vetor USING gin (dominios_atributos)
OK | 48 | 0.452s | CREATE INDEX IF NOT EXISTS gin_conteudo__midia_palavras_chave_visuais ON dicionario.conteudo__midia USING gin (palavras_chave_visuais)
OK | 49 | 0.449s | CREATE INDEX IF NOT EXISTS gin_conteudo__midia_cores_dominantes ON dicionario.conteudo__midia USING gin (cores_dominantes)
OK | 50 | 0.444s | CREATE INDEX IF NOT EXISTS gin_conteudo__midia_instrumentos_identificados ON dicionario.conteudo__midia USING gin (instrumentos_identificados)
OK | 51 | 0.441s | CREATE INDEX IF NOT EXISTS gin_conteudo__nuvem_pontos_aplicacoes_recomendadas ON dicionario.conteudo__nuvem_pontos USING gin (aplicacoes_recomendadas)
OK | 52 | 0.432s | CREATE INDEX IF NOT EXISTS gin_conteudo__nuvem_pontos_classes_pontos ON dicionario.conteudo__nuvem_pontos USING gin (classes_pontos)
OK | 53 | 0.431s | CREATE INDEX IF NOT EXISTS gin_conteudo__nuvem_pontos_distribuicao_classes ON dicionario.conteudo__nuvem_pontos USING gin (distribuicao_classes)
OK | 54 | 0.442s | CREATE INDEX IF NOT EXISTS gin_conteudo__pacote_projetos_relacionados ON dicionario.conteudo__pacote USING gin (projetos_relacionados)
OK | 55 | 0.443s | CREATE INDEX IF NOT EXISTS gin_conteudo__pacote_versoes_software ON dicionario.conteudo__pacote USING gin (versoes_software)
OK | 56 | 0.432s | CREATE INDEX IF NOT EXISTS gin_conteudo__pacote_documentacao_incluida ON dicionario.conteudo__pacote USING gin (documentacao_incluida)
OK | 57 | 0.428s | CREATE INDEX IF NOT EXISTS gin_conteudo__pacote_dependencias_externas ON dicionario.conteudo__pacote USING gin (dependencias_externas)
OK | 58 | 0.427s | CREATE INDEX IF NOT EXISTS gin_conteudo__pacote_sistemas_operacionais ON dicionario.conteudo__pacote USING gin (sistemas_operacionais)
OK | 59 | 0.448s | CREATE INDEX IF NOT EXISTS gin_conteudo__pacote_softwares_necessarios ON dicionario.conteudo__pacote USING gin (softwares_necessarios)
OK | 60 | 0.476s | CREATE INDEX IF NOT EXISTS gin_conteudo__tabular_metricas_disponiveis ON dicionario.conteudo__tabular USING gin (metricas_disponiveis)
OK | 61 | 0.456s | CREATE INDEX IF NOT EXISTS gin_conteudo__tabular_dimensoes_analiticas ON dicionario.conteudo__tabular USING gin (dimensoes_analiticas)
OK | 62 | 0.451s | CREATE INDEX IF NOT EXISTS gin_conteudo__tabular_analises_possiveis ON dicionario.conteudo__tabular USING gin (analises_possiveis)
OK | 63 | 0.449s | CREATE INDEX IF NOT EXISTS gin_conteudo__tabular_visualizacoes_sugeridas ON dicionario.conteudo__tabular USING gin (visualizacoes_sugeridas)
OK | 64 | 0.469s | CREATE INDEX IF NOT EXISTS gin_conteudo__tabular_cruzamentos_recomendados ON dicionario.conteudo__tabular USING gin (cruzamentos_recomendados)
OK | 65 | 0.430s | CREATE INDEX IF NOT EXISTS gin_conteudo__tabular_limitacoes_conhecidas ON dicionario.conteudo__tabular USING gin (limitacoes_conhecidas)
OK | 66 | 0.451s | CREATE INDEX IF NOT EXISTS gin_estrutura__database_tabelas_principais ON dicionario.estrutura__database USING gin (tabelas_principais)
OK | 67 | 0.453s | CREATE INDEX IF NOT EXISTS gin_estrutura__database_relacionamentos_mapeados ON dicionario.estrutura__database USING gin (relacionamentos_mapeados)
OK | 68 | 0.456s | CREATE INDEX IF NOT EXISTS gin_estrutura__database_esquemas_identificados ON dicionario.estrutura__database USING gin (esquemas_identificados)
OK | 69 | 0.437s | CREATE INDEX IF NOT EXISTS gin_estrutura__database_extras ON dicionario.estrutura__database USING gin (extras)
OK | 70 | 0.437s | CREATE INDEX IF NOT EXISTS gin_estrutura__desenho_2d3d_dimensoes_modelo ON dicionario.estrutura__desenho_2d3d USING gin (dimensoes_modelo)
OK | 71 | 0.457s | CREATE INDEX IF NOT EXISTS gin_estrutura__desenho_2d3d_extras ON dicionario.estrutura__desenho_2d3d USING gin (extras)
OK | 72 | 0.426s | CREATE INDEX IF NOT EXISTS gin_estrutura__documentos_texto_extras ON dicionario.estrutura__documentos_texto USING gin (extras)
OK | 73 | 0.432s | CREATE INDEX IF NOT EXISTS gin_estrutura__geodatabase_sistemas_coordenadas ON dicionario.estrutura__geodatabase USING gin (sistemas_coordenadas)
OK | 74 | 0.447s | CREATE INDEX IF NOT EXISTS gin_estrutura__geodatabase_tipos_geometria ON dicionario.estrutura__geodatabase USING gin (tipos_geometria)
OK | 75 | 0.435s | CREATE INDEX IF NOT EXISTS gin_estrutura__geodatabase_extensoes_espaciais ON dicionario.estrutura__geodatabase USING gin (extensoes_espaciais)
OK | 76 | 0.442s | CREATE INDEX IF NOT EXISTS gin_estrutura__geodatabase_domains_atributos ON dicionario.estrutura__geodatabase USING gin (domains_atributos)
OK | 77 | 0.436s | CREATE INDEX IF NOT EXISTS gin_estrutura__geodatabase_subtypes_definidos ON dicionario.estrutura__geodatabase USING gin (subtypes_definidos)
OK | 78 | 0.429s | CREATE INDEX IF NOT EXISTS gin_estrutura__geodatabase_extras ON dicionario.estrutura__geodatabase USING gin (extras)
OK | 79 | 0.463s | CREATE INDEX IF NOT EXISTS gin_estrutura__geoespacial_raster_estatisticas ON dicionario.estrutura__geoespacial_raster USING gin (estatisticas)
OK | 80 | 0.450s | CREATE INDEX IF NOT EXISTS gin_estrutura__geoespacial_raster_histogramas ON dicionario.estrutura__geoespacial_raster USING gin (histogramas)
OK | 81 | 0.433s | CREATE INDEX IF NOT EXISTS gin_estrutura__geoespacial_raster_extras ON dicionario.estrutura__geoespacial_raster USING gin (extras)
OK | 82 | 0.434s | CREATE INDEX IF NOT EXISTS gin_estrutura__geoespacial_vetor_extras ON dicionario.estrutura__geoespacial_vetor USING gin (extras)
OK | 83 | 0.431s | CREATE INDEX IF NOT EXISTS gin_estrutura__midia_extras ON dicionario.estrutura__midia USING gin (extras)
OK | 84 | 0.429s | CREATE INDEX IF NOT EXISTS gin_estrutura__nuvem_pontos_configuracao_voo ON dicionario.estrutura__nuvem_pontos USING gin (configuracao_voo)
OK | 85 | 0.433s | CREATE INDEX IF NOT EXISTS gin_estrutura__nuvem_pontos_filtros_aplicados ON dicionario.estrutura__nuvem_pontos USING gin (filtros_aplicados)
OK | 86 | 0.442s | CREATE INDEX IF NOT EXISTS gin_estrutura__nuvem_pontos_classificacoes_disponiveis ON dicionario.estrutura__nuvem_pontos USING gin (classificacoes_disponiveis)
OK | 87 | 0.429s | CREATE INDEX IF NOT EXISTS gin_estrutura__nuvem_pontos_extras ON dicionario.estrutura__nuvem_pontos USING gin (extras)
OK | 88 | 0.423s | CREATE INDEX IF NOT EXISTS gin_estrutura__pacote_tipos_arquivo_contidos ON dicionario.estrutura__pacote USING gin (tipos_arquivo_contidos)
OK | 89 | 0.444s | CREATE INDEX IF NOT EXISTS gin_estrutura__pacote_estrutura_diretorios ON dicionario.estrutura__pacote USING gin (estrutura_diretorios)
OK | 90 | 0.430s | CREATE INDEX IF NOT EXISTS gin_estrutura__pacote_perfis_identificados ON dicionario.estrutura__pacote USING gin (perfis_identificados)
OK | 91 | 0.436s | CREATE INDEX IF NOT EXISTS gin_estrutura__pacote_extras ON dicionario.estrutura__pacote USING gin (extras)
OK | 92 | 0.450s | CREATE INDEX IF NOT EXISTS gin_estrutura__tabular_tipos_colunas ON dicionario.estrutura__tabular USING gin (tipos_colunas)
OK | 93 | 0.451s | CREATE INDEX IF NOT EXISTS gin_estrutura__tabular_colunas_nomes ON dicionario.estrutura__tabular USING gin (colunas_nomes)
OK | 94 | 0.451s | CREATE INDEX IF NOT EXISTS gin_estrutura__tabular_colunas_obrigatorias ON dicionario.estrutura__tabular USING gin (colunas_obrigatorias)
OK | 95 | 0.444s | CREATE INDEX IF NOT EXISTS gin_estrutura__tabular_colunas_chave ON dicionario.estrutura__tabular USING gin (colunas_chave)
OK | 96 | 0.435s | CREATE INDEX IF NOT EXISTS gin_estrutura__tabular_possivel_chave_estrangeira ON dicionario.estrutura__tabular USING gin (possivel_chave_estrangeira)
OK | 97 | 0.432s | CREATE INDEX IF NOT EXISTS gin_estrutura__tabular_relacionamentos_detectados ON dicionario.estrutura__tabular USING gin (relacionamentos_detectados)
OK | 98 | 0.439s | CREATE INDEX IF NOT EXISTS gin_estrutura__tabular_extras ON dicionario.estrutura__tabular USING gin (extras)
OK | 99 | 0.449s | CREATE INDEX IF NOT EXISTS gin_extensao_mime_types ON dicionario.extensao USING gin (mime_types)
OK | 100 | 0.438s | CREATE INDEX IF NOT EXISTS gin_status_publicacao_geoserver_servicos_habilitados ON dicionario.status_publicacao_geoserver USING gin (servicos_habilitados)
OK | 101 | 0.431s | CREATE INDEX IF NOT EXISTS gin_status_publicacao_geoserver_grupos_acesso ON dicionario.status_publicacao_geoserver USING gin (grupos_acesso)
OK | 102 | 0.436s | CREATE INDEX IF NOT EXISTS gin_status_publicacao_geoserver_palavras_chave_servico ON dicionario.status_publicacao_geoserver USING gin (palavras_chave_servico)
OK | 103 | 0.428s | CREATE INDEX IF NOT EXISTS gin_status_publicacao_geoserver_erros_validacao ON dicionario.status_publicacao_geoserver USING gin (erros_validacao)
OK | 104 | 0.437s | CREATE INDEX IF NOT EXISTS gin_status_publicacao_geoserver_configuracao_avancada ON dicionario.status_publicacao_geoserver USING gin (configuracao_avancada)
OK | 105 | 0.434s | CREATE INDEX IF NOT EXISTS gin_status_publicacao_geoserver_extras ON dicionario.status_publicacao_geoserver USING gin (extras)
OK | 106 | 0.449s | CREATE INDEX IF NOT EXISTS gin_versao_arquivo_tags_versao ON dicionario.versao_arquivo USING gin (tags_versao)
OK | 107 | 0.434s | CREATE INDEX IF NOT EXISTS gin_versao_arquivo_dados_estrutura ON dicionario.versao_arquivo USING gin (dados_estrutura)
